date_pht,sub_basin,status
2026-09-21,Ambuklao-Binga-San Roque Sub-basin,Flood Watch
2026-09-21,Angat Sub-basin,Non-Flood Watch
2026-09-21,Magat Sub-basin,Non-Flood Watch
2026-09-21,Pantabangan Sub-basin,Non-Flood Watch
2026-09-22,Ambuklao-Binga-San Roque Sub-basin,Non-Flood Watch
2026-09-22,Angat Sub-basin,Non-Flood Watch
2026-09-22,Magat Sub-basin,Non-Flood Watch
2026-09-22,Pantabangan Sub-basin,Non-Flood Watch
2026-09-23,Ambuklao-Binga-San Roque Sub-basin,Flood Watch
2026-09-23,Angat Sub-basin,Non-Flood Watch
2026-09-23,Magat Sub-basin,Non-Flood Watch
2026-09-23,Pantabangan Sub-basin,Non-Flood Watch
2026-09-24,Ambuklao-Binga-San Roque Sub-basin,Flood Watch
2026-09-24,Angat Sub-basin,Non-Flood Watch
2026-09-24,Magat Sub-basin,Non-Flood Watch
2026-09-24,Pantabangan Sub-basin,Non-Flood Watch
2026-09-25,Ambuklao-Binga-San Roque Sub-basin,Flood Watch
2026-09-25,Angat Sub-basin,Non-Flood Watch
2026-09-25,Magat Sub-basin,Non-Flood Watch
2026-09-25,Pantabangan Sub-basin,Non-Flood Watch
